country,pathogen_antibiotic,years_of_data,latest_year,latest_resistance_pct,predicted_next_year,predicted_resistance_pct,trend_pct_per_year
Denmark,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",20,2024,1.18,2025,1.76,0.0
Iceland,Klebsiella pneumoniae - Carbapenems,9,2024,0.0,2025,0.0,0.0
Spain,Staphylococcus aureus - Meticillin (MRSA),25,2024,23.69,2025,24.29,-0.05
Estonia,Staphylococcus aureus - Meticillin (MRSA),24,2024,3.39,2025,2.52,-0.07
Lithuania,Staphylococcus aureus - Meticillin (MRSA),19,2024,10.01,2025,8.77,-0.08
Cyprus,Staphylococcus aureus - Meticillin (MRSA),22,2024,45.96,2025,40.48,-0.21
Romania,Staphylococcus aureus - Meticillin (MRSA),23,2024,36.83,2025,43.38,-0.25
Greece,Staphylococcus aureus - Meticillin (MRSA),25,2024,40.54,2025,37.69,-0.26
Slovenia,Staphylococcus aureus - Meticillin (MRSA),25,2024,8.7,2025,7.33,-0.26
Poland,Staphylococcus aureus - Meticillin (MRSA),24,2024,10.75,2025,13.16,-0.28
Romania,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",23,2024,7.12,2025,6.95,-0.29
Croatia,Staphylococcus aureus - Meticillin (MRSA),23,2024,29.81,2025,25.58,-0.37
Austria,Staphylococcus aureus - Meticillin (MRSA),25,2024,5.35,2025,2.77,-0.44
Italy,Staphylococcus aureus - Meticillin (MRSA),25,2024,25.7,2025,28.56,-0.51
Portugal,Staphylococcus aureus - Meticillin (MRSA),25,2024,23.81,2025,32.55,-0.62
Latvia,Staphylococcus aureus - Meticillin (MRSA),21,2024,6.93,2025,2.56,-0.65
Luxembourg,Staphylococcus aureus - Meticillin (MRSA),25,2024,5.13,2025,3.64,-0.66
Germany,Staphylococcus aureus - Meticillin (MRSA),25,2024,4.24,2025,4.17,-0.68
Bulgaria,Staphylococcus aureus - Meticillin (MRSA),25,2024,10.94,2025,8.9,-0.88
France,Staphylococcus aureus - Meticillin (MRSA),23,2024,9.91,2025,5.76,-1.08
Belgium,Staphylococcus aureus - Meticillin (MRSA),25,2024,7.44,2025,2.38,-1.09
Malta,Staphylococcus aureus - Meticillin (MRSA),25,2024,15.24,2025,21.92,-1.5
Ireland,Staphylococcus aureus - Meticillin (MRSA),25,2024,11.04,2025,3.66,-1.64
United Kingdom,Staphylococcus aureus - Meticillin (MRSA),20,2019,5.88,2020,0.0,-2.59
